
14:04:58 | INFO    | frs.engine.trainer     | ep 16 [88182/88698] loss 1.0139  acc 79.43%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:05:10 | INFO    | frs.engine.trainer     | ep 16 [88232/88698] loss 1.0244  acc 79.25%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:05:22 | INFO    | frs.engine.trainer     | ep 16 [88282/88698] loss 1.0102  acc 78.76%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:05:34 | INFO    | frs.engine.trainer     | ep 16 [88332/88698] loss 1.0101  acc 79.41%  lr 0.00050  fnorm 22.6  wnorm 0.2570  788 img/s
14:05:46 | INFO    | frs.engine.trainer     | ep 16 [88382/88698] loss 0.9771  acc 80.15%  lr 0.00050  fnorm 22.6  wnorm 0.2570  788 img/s
14:05:59 | INFO    | frs.engine.trainer     | ep 16 [88432/88698] loss 0.9997  acc 79.66%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:06:11 | INFO    | frs.engine.trainer     | ep 16 [88482/88698] loss 1.0164  acc 79.19%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:06:23 | INFO    | frs.engine.trainer     | ep 16 [88532/88698] loss 1.0117  acc 79.33%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:06:35 | INFO    | frs.engine.trainer     | ep 16 [88582/88698] loss 0.9977  acc 79.61%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:06:47 | INFO    | frs.engine.trainer     | ep 16 [88632/88698] loss 1.0176  acc 78.84%  lr 0.00050  fnorm 22.6  wnorm 0.2570  788 img/s
14:06:59 | INFO    | frs.engine.trainer     | ep 16 [88682/88698] loss 1.0158  acc 79.05%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:07:03 | INFO    | frs.engine.trainer     | epoch 16 done: loss 1.0974  acc 77.81%  363.5 min  789 img/s  data-stall 0.1%
14:07:22 | INFO    | frs.engine.trainer     |
benchmark            accuracy      std   thresh     AUC   TAR@1e-3
------------------------------------------------------------------
glint_val             99.950%   0.076   0.2422  0.9998     99.97%
14:07:27 | INFO    | frs.engine.checkpoint  | Saved checkpoint: runs/essi_fr_v1/checkpoints/last.pt (epoch 17, step 1507866)
14:07:37 | INFO    | frs.engine.trainer     | ep 17 [  34/88698] loss 0.9933  acc 79.96%  lr 0.00050  fnorm 22.6  wnorm 0.2570  640 img/s
14:07:49 | INFO    | frs.engine.trainer     | ep 17 [  84/88698] loss 1.0068  acc 79.81%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:08:02 | INFO    | frs.engine.trainer     | ep 17 [ 134/88698] loss 1.0021  acc 79.93%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:08:06 | INFO    | frs.engine.checkpoint  | Saved checkpoint: runs/essi_fr_v1/checkpoints/last.pt (epoch 17, step 1508000)
14:08:19 | INFO    | frs.engine.trainer     | ep 17 [ 184/88698] loss 0.9749  acc 79.73%  lr 0.00050  fnorm 22.6  wnorm 0.2570  561 img/s
14:08:31 | INFO    | frs.engine.trainer     | ep 17 [ 234/88698] loss 0.9991  acc 79.52%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:08:43 | INFO    | frs.engine.trainer     | ep 17 [ 284/88698] loss 0.9712  acc 79.79%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:08:55 | INFO    | frs.engine.trainer     | ep 17 [ 334/88698] loss 0.9546  acc 80.01%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:09:07 | INFO    | frs.engine.trainer     | ep 17 [ 384/88698] loss 0.9835  acc 79.49%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:09:20 | INFO    | frs.engine.trainer     | ep 17 [ 434/88698] loss 1.0103  acc 79.58%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:09:32 | INFO    | frs.engine.trainer     | ep 17 [ 484/88698] loss 1.0134  acc 79.65%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:09:44 | INFO    | frs.engine.trainer     | ep 17 [ 534/88698] loss 0.9879  acc 79.67%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:09:56 | INFO    | frs.engine.trainer     | ep 17 [ 584/88698] loss 0.9723  acc 79.88%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
14:10:08 | INFO    | frs.engine.trainer     | ep 17 [ 634/88698] loss 0.9923  acc 79.94%  lr 0.00050  fnorm 22.6  wnorm 0.2570  789 img/s
